Sun_x,Sun_y, Merc_x,Merc_y, Earth_x,Earth_y, Jup_x,Jup_y
1.841967e+06,1.071163e+05, -5.656738e+10,-1.558069e+10, 1.039611e+11,1.063113e+11, 7.767802e+11,5.186725e+10
1.920699e+06,1.132722e+05, -5.547961e+10,-1.951591e+10, 1.020836e+11,1.080949e+11, 7.767034e+11,5.299307e+10
2.001035e+06,1.196165e+05, -5.412170e+10,-2.335611e+10, 1.001752e+11,1.098460e+11, 7.766250e+11,5.411878e+10
2.082975e+06,1.261499e+05, -5.250206e+10,-2.708336e+10, 9.823669e+10,1.115639e+11, 7.765450e+11,5.524438e+10
2.166518e+06,1.328735e+05, -5.063018e+10,-3.068050e+10, 9.626850e+10,1.132482e+11, 7.764633e+11,5.636986e+10
2.251664e+06,1.397884e+05, -4.851660e+10,-3.413117e+10, 9.427127e+10,1.148983e+11, 7.763800e+11,5.749523e+10
2.338414e+06,1.468957e+05, -4.617278e+10,-3.741989e+10, 9.224558e+10,1.165137e+11, 7.762950e+11,5.862047e+10
2.426767e+06,1.541969e+05, -4.361110e+10,-4.053205e+10, 9.019205e+10,1.180939e+11, 7.762085e+11,5.974559e+10
2.516724e+06,1.616933e+05, -4.084474e+10,-4.345399e+10, 8.811128e+10,1.196385e+11, 7.761203e+11,6.087058e+10
2.608284e+06,1.693866e+05, -3.788762e+10,-4.617301e+10, 8.600389e+10,1.211469e+11, 7.760304e+11,6.199545e+10
2.701449e+06,1.772784e+05, -3.475437e+10,-4.867739e+10, 8.387051e+10,1.226187e+11, 7.759390e+11,6.312019e+10
2.796218e+06,1.853706e+05, -3.146022e+10,-5.095643e+10, 8.171179e+10,1.240535e+11, 7.758459e+11,6.424479e+10
2.892592e+06,1.936652e+05, -2.802096e+10,-5.300046e+10, 7.952837e+10,1.254507e+11, 7.757511e+11,6.536926e+10
2.990572e+06,2.021643e+05, -2.445288e+10,-5.480086e+10, 7.732091e+10,1.268100e+11, 7.756548e+11,6.649359e+10
3.090158e+06,2.108701e+05, -2.077271e+10,-5.635008e+10, 7.509006e+10,1.281310e+11, 7.755568e+11,6.761778e+10
3.191351e+06,2.197850e+05, -1.699754e+10,-5.764163e+10, 7.283649e+10,1.294132e+11, 7.754572e+11,6.874183e+10
3.294151e+06,2.289116e+05, -1.314477e+10,-5.867010e+10, 7.056089e+10,1.306562e+11, 7.753560e+11,6.986574e+10
3.398560e+06,2.382527e+05, -9.232079e+09,-5.943119e+10, 6.826394e+10,1.318597e+11, 7.752531e+11,7.098950e+10
3.504578e+06,2.478109e+05, -5.277340e+09,-5.992169e+10, 6.594633e+10,1.330233e+11, 7.751486e+11,7.211311e+10
3.612205e+06,2.575894e+05, -1.298567e+09,-6.013950e+10, 6.360875e+10,1.341466e+11, 7.750425e+11,7.323657e+10
3.721442e+06,2.675911e+05, 2.686133e+09,-6.008362e+10, 6.125191e+10,1.352293e+11, 7.749347e+11,7.435987e+10
3.832291e+06,2.778195e+05, 6.658622e+09,-5.975416e+10, 5.887652e+10,1.362710e+11, 7.748253e+11,7.548302e+10
3.944751e+06,2.882780e+05, 1.060078e+10,-5.915236e+10, 5.648330e+10,1.372714e+11, 7.747143e+11,7.660601e+10
4.058823e+06,2.989700e+05, 1.449457e+10,-5.828056e+10, 5.407297e+10,1.382303e+11, 7.746017e+11,7.772884e+10
4.174508e+06,3.098994e+05, 1.832210e+10,-5.714222e+10, 5.164626e+10,1.391472e+11, 7.744874e+11,7.885150e+10
4.291806e+06,3.210700e+05, 2.206564e+10,-5.574191e+10, 4.920390e+10,1.400220e+11, 7.743715e+11,7.997400e+10
4.410718e+06,3.324858e+05, 2.570776e+10,-5.408532e+10, 4.674662e+10,1.408544e+11, 7.742540e+11,8.109633e+10
4.531244e+06,3.441509e+05, 2.923131e+10,-5.217923e+10, 4.427518e+10,1.416440e+11, 7.741349e+11,8.221850e+10
4.653384e+06,3.560696e+05, 3.261953e+10,-5.003152e+10, 4.179032e+10,1.423907e+11, 7.740141e+11,8.334048e+10
